sentence,label
薪轉戶給老婆43272元,TRANSFER
數位戶給阿爸帳戶24609元,TRANSFER
薪轉給阿妹帳號39857元,TRANSFER
給老婆戶頭50439元,TRANSFER
外幣戶給阿爸的帳戶56134元,TRANSFER
薪轉給爸爸的帳號71743元,TRANSFER
給老公的戶頭95605元,TRANSFER
我給老公18823元,TRANSFER
薪轉戶給老婆帳戶16873元,TRANSFER
給阿弟帳號61353元,TRANSFER
薪轉戶給阿妹戶頭73365元,TRANSFER
數位戶給爸爸的帳戶38855元,TRANSFER
外幣戶給阿妹的帳號71418元,TRANSFER
數位帳戶給老婆的戶頭87367元,TRANSFER
薪轉給爸爸48729元,TRANSFER
給爸爸帳戶11190元,TRANSFER
薪轉給阿妹帳號31029元,TRANSFER
台幣戶給老公戶頭81460元,TRANSFER
外幣戶給阿弟的帳戶55296元,TRANSFER
給阿弟的帳號54587元,TRANSFER
薪轉戶給老公的戶頭99011元,TRANSFER
台幣戶給帳戶阿姐48689元,TRANSFER
外幣戶給帳戶阿弟帳戶43621元,TRANSFER
薪轉戶給帳戶阿爸帳號9066元,TRANSFER
給帳戶阿弟戶頭33132元,TRANSFER
外幣戶給帳戶阿爸的帳戶8845元,TRANSFER
台幣戶給帳戶阿姐的帳號34910元,TRANSFER
薪轉戶給帳戶阿姐的戶頭61968元,TRANSFER
外幣戶給帳戶阿爸94881元,TRANSFER
薪轉給帳戶爸爸帳戶87053元,TRANSFER
數位帳戶給帳戶阿姐帳號43696元,TRANSFER
給帳戶阿弟戶頭53960元,TRANSFER
薪轉給帳戶老婆的帳戶99046元,TRANSFER
薪轉戶給帳戶爸爸的帳號74117元,TRANSFER
外幣戶給帳戶爸爸的戶頭43224元,TRANSFER
數位戶給帳戶阿母46442元,TRANSFER
薪轉戶給帳戶爸爸帳戶5124元,TRANSFER
台幣戶給帳戶爸爸帳號71585元,TRANSFER
薪轉戶給帳戶爸爸戶頭46592元,TRANSFER
給帳戶老公的帳戶1734元,TRANSFER
數位戶給帳戶阿爸的帳號90958元,TRANSFER
數位帳戶給帳戶阿妹的戶頭98552元,TRANSFER
台幣戶要給老婆87212元,TRANSFER
台幣戶要給老公帳戶58006元,TRANSFER
數位帳戶要給爸爸帳號30825元,TRANSFER
數位戶要給阿母戶頭17430元,TRANSFER
